lat;lon;status;closed;name;addr;town;county;postcode;prev;img;url;gsv
51.1556841555;-0.2260002548;open;;Half Moon;73 The Street;Charlwood;Surrey;RH6 0DS;;https://whatpub.com/img/REI/56/half-moon-charlwood/298/224/1;https://whatpub.com/pubs/REI/56/half-moon-charlwood;
51.1546427992;-0.219981375;open;;Greyhound;12 The Street;Charlwood;Surrey;RH6 0BY;;https://whatpub.com/img/REI/55/greyhound-charlwood/298/224/1000001;https://whatpub.com/pubs/REI/55/greyhound-charlwood;
51.1555377936;-0.2241012481;gone;2014;Rising Sun;64 The Street;Charlwood;Surrey;RH6 0DS;;https://whatpub.com/img/REI/57/rising-sun-charlwood/298/224/1;https://whatpub.com/pubs/REI/57/rising-sun-charlwood;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;open;;Queen's Head;The Street;East Clandon;Surrey;GU4 7RY;Wishing Well;;https://whatpub.com/pubs/SHB/471/queens-head-east-clandon;
;;open;;Bulls Head;The Street;West Clandon;Surrey;GU4 7ST;;https://whatpub.com/img/SHB/83/bulls-head-west-clandon/298/224/71520;https://whatpub.com/pubs/SHB/83/bulls-head-west-clandon;
;;open;;Onslow Arms;The Street;West Clandon;Surrey;GU4 7TE;;https://whatpub.com/img/SHB/421/onslow-arms-west-clandon/298/224/71524;https://whatpub.com/pubs/SHB/421/onslow-arms-west-clandon;
;;bone;;Hare & Hounds ;;West Clandon;Surrey;;;http://www.closedpubs.co.uk/surrey/pics/westclandon_harehounds.jpg;http://www.closedpubs.co.uk/surrey/westclandon_harehounds.html;
;;open;;Percy Arms;75 Dorking Road;Chilworth;Surrey;GU4 8NP;;https://whatpub.com/img/SHB/429/percy-arms-chilworth/298/224/2011010;https://whatpub.com/pubs/SHB/429/percy-arms-chilworth;
;;dead;2011;Villagers;Blackheath Lane;Blackheath;Surrey;GU4 8RB;;;https://whatpub.com/pubs/SHB/644/villagers-blackheath;
;;;;;;;;;;;;
51.2200896923;-0.4479932812;open;;Compasses;50 Station Road;Gomshall;Surrey;GU5 9LA;;https://whatpub.com/img/REI/186/compasses-gomshall/200/150;https://whatpub.com/pubs/REI/186/compasses-gomshall;
51.2195050662;-0.4471939829;open;;Gomshall Mill;52 Station Road;Gomshall;Surrey;GU5 9LB;;https://whatpub.com/img/REI/418/gomshall-mill-gomshall/200/150;https://whatpub.com/pubs/REI/418/gomshall-mill-gomshall;
51.2191136313;-0.4457885054;dead;2008;Black Horse;55 Station Road;Gomshall;Surrey;GU5 9NP;;https://whatpub.com/img/REI/185/black-horse-gomshall/298/224/1;http://www.closedpubs.co.uk/surrey/gomshall_blackhorse.html|https://whatpub.com/pubs/REI/185/black-horse-gomshall;
51.2192354293;-0.4649502052;open;;White Horse;Shere Lane;Shere;Surrey;GU5 9HS;;https://whatpub.com/img/REI/353/white-horse-shere/200/150;https://whatpub.com/pubs/REI/353/white-horse-shere;
51.2186944723;-0.465049447;open;;William Bray;Shere Lane;Shere;Surrey;GU5 9HS;;https://whatpub.com/img/REI/351/william-bray-shere/200/150;https://whatpub.com/pubs/REI/351/william-bray-shere;
51.2099803264;-0.4759097113;open;;William IV;Little London;Albury Heath;Surrey;GU5 9DG;;https://whatpub.com/img/REI/4/william-iv-albury-heath/298/224/1;https://whatpub.com/pubs/REI/4/william-iv-albury-heath;
;;open;;Drummond at Albury;The Street;Albury;Surrey;GU5 9AG;;https://whatpub.com/img/REI/3/drummond-at-albury-albury/298/224/1;https://whatpub.com/pubs/REI/3/drummond-at-albury-albury;
51.1919570686;-0.4471322921;open;;Hurtwood Inn;Walking Bottom;Peaslake;Surrey;GU5 9RR;;https://whatpub.com/img/REI/282/hurtwood-inn-peaslake/298/224/1;https://whatpub.com/pubs/REI/282/hurtwood-inn-peaslake;
;;;;;;;;;;;;
51.1705734587;-0.4565307525;food;;Windmill Inn;Ride Way, Pitch Hill;Ewhurst;Surrey;GU6 7NN;;https://whatpub.com/img/REI/168/windmill-inn-ewhurst/298/224/1;https://whatpub.com/pubs/REI/168/windmill-inn-ewhurst;
;;;;;;;;;;;;
